script                , track             , episode, reward, steps, distance_down_track
discrete_RL_controller, hacienda          ,    2990, -3.84 ,   606,                  70
discrete_RL_controller, hacienda          ,    3000, -3.84 ,   606,                  70

discrete_RL_controller, snowtuxpeak       ,    2910, -3.66 ,   765,                  97
discrete_RL_controller, snowtuxpeak       ,    2920, 14.41 ,   782,                  99
discrete_RL_controller, snowtuxpeak       ,    2930, 24.02 ,   875,                  99
discrete_RL_controller, snowtuxpeak       ,    2940, 12.76 ,   607,                  84
discrete_RL_controller, snowtuxpeak       ,    2950, 12.76 ,   607,                  84
discrete_RL_controller, snowtuxpeak       ,    2960, 12.76 ,   607,                  84
discrete_RL_controller, snowtuxpeak       ,    2970, 12.76 ,   607,                  84
discrete_RL_controller, snowtuxpeak       ,    2980, 12.76 ,   607,                  84
discrete_RL_controller, snowtuxpeak       ,    2990, 18.93 ,   529,                  69
discrete_RL_controller, snowtuxpeak       ,    3000, 18.93 ,   529,                  69

discrete_RL_controller, cornfield_crossing,    2910, 21.31 ,   727,                  80
discrete_RL_controller, cornfield_crossing,    2920, 21.31 ,   727,                  80
discrete_RL_controller, cornfield_crossing,    2930, 21.45 ,   727,                  80
discrete_RL_controller, cornfield_crossing,    2940, 21.45 ,   727,                  80
discrete_RL_controller, cornfield_crossing,    2950, 21.45 ,   727,                  80
discrete_RL_controller, cornfield_crossing,    2960, 21.45 ,   727,                  80
discrete_RL_controller, cornfield_crossing,    2970, 21.45 ,   727,                  80
discrete_RL_controller, cornfield_crossing,    2980, 21.45 ,   727,                  80
discrete_RL_controller, cornfield_crossing,    2990, 17.11 ,   842,                  99
discrete_RL_controller, cornfield_crossing,    3000, 17.55 ,   901,                  99

discrete_RL_controller, scotland          ,    2910, 27.3  ,   771,                  90
discrete_RL_controller, scotland          ,    2920, 27.3  ,   771,                  90
discrete_RL_controller, scotland          ,    2930, 27.3  ,   771,                  90
discrete_RL_controller, scotland          ,    2940, 27.3  ,   771,                  90
discrete_RL_controller, scotland          ,    2950, 27.3  ,   771,                  90
discrete_RL_controller, scotland          ,    2960, 27.3  ,   771,                  90
discrete_RL_controller, scotland          ,    2970, 27.3  ,   771,                  90
discrete_RL_controller, scotland          ,    2980, 27.3  ,   771,                  90
discrete_RL_controller, scotland          ,    2990, 27.3  ,   771,                  90
discrete_RL_controller, scotland          ,    3000, 27.3  ,   771,                  90
